month,New York,Los Angeles,Chicago,Dallas,Philadelphia,Houston,Washington,Miami,Atlanta,Boston,San Francisco,Detroit,Riverside,Phoenix,Seattle,Minneapolis,San Diego,St. Louis,Tampa,Baltimore,Denver,Pittsburgh,Portland,Charlotte,Sacramento,,Orlando,Cincinnati,Cleveland,Las Vegas,Columbus,Indianapolis,San Jose,Austin,Virginia Beach
1,,91700,86600,50600,70200,,82100,45000,84200,88600,134900,69100,53600,62500,100600,63000,79200,49200,37900,72800,69900,40900,96500,61500,84600,,39700,54300,58400,74900,56000,,149800,,65200
2,,92000,86200,50400,69900,,82600,45100,85900,89200,137100,69600,53600,62800,101700,63100,79500,49900,37800,72600,70400,41200,97400,63100,84800,,39700,54400,58500,75600,55900,,151300,,64800
3,,92300,86100,49800,69500,,84400,45300,87200,89700,138300,69900,53400,63400,102800,63000,80100,50200,37900,72300,70900,41300,98300,63700,84500,,39500,54700,58700,75900,55900,,154000,,64600
4,,92500,86400,49300,69400,,86000,45400,87900,90200,138800,70200,53500,63900,103700,62800,80800,50500,38200,72200,71400,41100,98500,63700,84100,,39400,54900,59300,76000,55900,,157000,,64700
5,,93000,86700,48600,69400,,86100,45600,88500,90700,140200,70500,53900,64300,104700,63000,82100,51100,38400,72100,71900,41000,98800,63600,84700,,39400,54900,59700,75700,56100,,158900,,65100
6,,93900,87100,48200,69300,,85900,45800,89100,91300,141700,70600,53800,64700,105300,63500,83500,51600,38400,72000,72700,41100,99600,63500,86500,,39600,55100,59900,75200,56300,,160700,,65700
7,,94700,87500,47900,69100,,85700,45900,89700,92000,143300,70900,53600,65200,105700,63700,84500,51500,38400,71600,73500,41200,100500,63800,88100,,39700,55600,60000,75100,56300,,163000,,66400
8,,95700,87800,47700,69100,,85700,46100,90200,92700,145200,71500,53600,65600,106300,64000,85100,51300,38700,71300,74600,41100,101000,64400,89000,,39800,56000,60400,75700,56300,,164800,,66800
9,,96900,88200,47600,69400,,86000,46400,90500,93500,147000,72000,54100,66100,107300,64500,85200,51400,38800,71300,75700,41100,101700,65300,89800,,40000,56000,60600,76400,56500,,166400,,67000
10,,98100,88700,47600,69900,,86400,46700,90600,94400,148400,72700,54900,66800,108400,65100,84800,51400,38800,71600,76700,41200,102500,65900,90600,,40300,56100,60900,76800,57000,,169000,,67000
11,,99200,89200,47700,70300,,86800,46700,91300,95300,149900,73600,55900,67500,109400,65700,84800,51300,38800,71900,77400,41200,103400,66100,90800,,40700,56400,61000,76900,57600,,171800,,66900
12,,101100,89500,47900,70600,,87500,46800,92100,96100,152000,74400,56500,67900,110400,66400,84900,51400,39000,72100,78100,41200,104100,66200,90800,,41000,56800,61200,76500,57900,,173200,,66800
