month,California,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
1,181100,141900,56400,96800,101200,59000,58200,87300,95600,182000,176200,150400,191300,59800,78600,94300,76300,141200,90800,92400,123500,85700,78000,73300,147800,44500,118700,84300,86500,53700,136400,51900,121100,79600,71700,137400,271500,100000,140900,125400,120500,73400,137800,94300,154200,320300,159100
2,180900,141300,56700,96000,100800,59000,58100,86800,95600,181300,176400,149500,191500,60100,79700,94300,75900,140900,91500,92200,124000,85500,77100,73400,147700,45000,118400,84300,86100,53400,136200,51900,121900,79500,71700,137300,271600,99800,138700,125500,121600,74300,138500,95000,153900,321600,158200
3,180900,140500,57200,95600,100600,58900,58100,86100,95900,180800,177000,149300,191700,60100,80900,94300,75500,140500,91900,92200,124400,85500,76700,73700,147800,45500,118300,84500,85900,53600,136900,52200,123000,79500,71000,138600,271600,99500,136500,127300,123200,75200,138300,95300,153800,322800,156000
4,181400,140000,57700,95400,100500,58800,58500,85600,96100,180400,177400,149200,192200,60200,82200,94500,75200,140700,92000,92500,124700,85200,76100,74000,148100,45700,118200,84800,85900,55300,138400,52400,123100,78800,70300,140100,272300,99300,135100,130200,124000,75900,137100,95700,155600,324200,155500
5,182400,139700,58100,94900,100500,58900,59300,85100,96200,180300,177400,149400,192800,60600,83200,94700,75100,141000,91700,93400,124900,84500,75600,74200,148400,45900,118200,85200,85400,57800,140400,52700,122800,78500,69700,141100,273100,98800,134500,134200,123900,76600,136800,97900,157400,325600,156700
6,183800,139600,58500,94000,100400,58800,60100,84700,95900,180400,177700,150100,193500,60900,84000,94900,75200,140700,91900,94100,125300,84500,75500,74100,148600,46300,118100,85700,84800,59200,143000,53700,123100,79400,69000,142700,274700,98300,134200,137800,123500,76800,137700,102600,157800,327200,158000
7,185300,139400,59100,93000,100100,58800,60700,84800,95800,180600,178300,150900,194300,61200,84600,94600,75300,140300,92300,94500,125600,85600,75600,74200,148600,46500,118200,86300,84800,59500,144600,54600,123500,79800,69700,144200,277100,98200,134000,138500,123400,76500,137400,106400,157300,328400,159300
8,187100,139400,60000,92000,99700,59000,61400,85000,95800,180100,179000,151300,195300,61400,85400,94400,75400,140600,93000,94900,126000,86400,75800,74500,148800,46800,118200,86400,85200,59600,145300,55400,123100,79200,73000,143900,278600,98700,133400,137400,122900,76500,136100,108300,155800,328900,159400
9,189200,139200,60800,91200,99400,59300,62000,85300,95800,179200,179300,151500,196300,61700,86700,94400,75700,141100,93200,95500,126100,86900,76200,74900,149000,47400,117900,86300,84800,60100,145700,56400,122100,78800,75700,143800,279100,99100,132800,137300,122600,77900,135400,109900,154100,329300,158900
10,191500,138800,61300,90700,99100,59200,62500,85700,95600,178400,179300,152000,197100,62200,87500,94600,76100,141300,93200,96100,126100,87200,76400,75400,149500,47900,117400,86100,83600,60400,147000,57700,121400,80100,75100,143900,280400,99400,132400,137800,123100,79900,135800,111600,154000,330600,159100
11,193500,138800,61900,90500,98900,59100,62800,86300,95300,178400,179700,152900,198000,63000,87800,95000,76500,141100,93500,96800,126300,86900,76400,75700,150000,48300,117500,86200,82300,60600,148700,58900,121800,82000,73300,144000,282000,99800,131700,138500,124300,81600,136300,112700,154300,332600,159900
12,195600,139100,62900,90700,98900,59000,63200,86900,95200,178400,180400,153500,199200,63700,88600,95200,76300,141900,93700,97400,126900,86400,76600,75900,150300,48600,117700,86400,81500,60700,150900,60000,122300,82600,72900,144500,283200,100200,131100,139600,124900,82100,136200,113200,154300,334500,160000
