month,New York,Los Angeles,Chicago,Dallas,Philadelphia,Houston,Washington,Miami,Atlanta,Boston,San Francisco,Detroit,Riverside,Phoenix,Seattle,Minneapolis,San Diego,St. Louis,Tampa,Baltimore,Denver,Pittsburgh,Portland,Charlotte,Sacramento,,Orlando,Cincinnati,Cleveland,Las Vegas,Columbus,Indianapolis,San Jose,Austin,Virginia Beach
1,,95000,87100,51300,73400,,85700,46200,82200,86400,137500,70200,54900,59500,95600,64300,78300,49600,38900,76400,66100,44100,89200,55900,84800,,44500,58400,59500,74000,57700,,137500,,62500
2,,93500,86700,51000,72700,,85000,45800,82700,85400,136500,70300,54700,59700,95700,63800,78700,48600,39100,76300,65800,43300,90100,55400,84600,,43800,58100,58700,73100,57400,,139200,,64200
3,,92600,86000,50800,72400,,84100,45700,82400,84900,135400,70400,54600,59900,95800,63500,78900,48100,39100,76400,65700,42600,90800,55600,84700,,43000,57600,58400,72300,57300,,139600,,65400
4,,91800,85600,50700,71900,,83200,45600,82000,84900,134000,70300,54400,60200,95700,63000,79600,48000,38700,76100,65800,42300,91500,56300,84600,,42200,57100,58200,71700,57500,,139300,,65600
5,,91500,85400,50600,71300,,82800,45500,81700,84800,132600,70200,54400,60500,95800,62100,79800,48000,38300,75300,66000,42100,92200,57200,84200,,41600,56500,57900,71500,57500,,139600,,65200
6,,91500,85500,50700,70900,,82700,45400,81300,84600,131500,70200,54400,60800,96100,61500,79300,47900,38000,74200,66300,41700,92500,57700,83700,,41100,56100,57700,71300,57400,,139900,,64600
7,,91400,85400,50800,70500,,82800,45200,80800,84500,130500,69800,54200,61000,96500,61500,79000,47800,37400,73300,66400,41200,92900,57900,83300,,40500,55700,57700,71000,57000,,140000,,64700
8,,91300,85600,50900,70100,,82900,44900,80200,84800,130500,69400,53800,61300,96900,61700,79000,48000,37200,73200,66900,40900,93500,58300,83100,,40000,55300,57700,70600,56400,,140900,,65100
9,,91300,85900,51000,69800,,83000,44800,79900,85400,131200,69500,53800,61500,97600,61800,78900,48300,37300,73100,67900,40700,94000,58600,83200,,39900,54900,57600,70700,55800,,142100,,65300
10,,91300,86100,50900,69700,,83100,44900,80300,86000,131700,69400,53600,61700,98300,62000,79300,48400,37300,73100,68600,40900,94600,59100,83600,,39800,54800,57300,71500,55500,,142800,,65400
11,,91400,86200,50900,70000,,82900,45000,81300,86900,132100,68900,53400,61900,99000,62300,79800,48300,37600,73100,69000,40900,95500,59600,84200,,39500,54700,57300,72500,55500,,144200,,65800
12,,91500,86500,50900,70300,,82600,45000,82600,87800,132900,68700,53300,62300,99700,62600,79600,48500,37800,73200,69500,40800,96100,60300,84700,,39400,54500,57900,73800,56000,,147500,,65700
