month,New York,Los Angeles,Chicago,Dallas,Philadelphia,Houston,Washington,Miami,Atlanta,Boston,San Francisco,Detroit,Riverside,Phoenix,Seattle,Minneapolis,San Diego,St. Louis,Tampa,Baltimore,Denver,Pittsburgh,Portland,Charlotte,Sacramento,,Orlando,Cincinnati,Cleveland,Las Vegas,Columbus,Indianapolis,San Jose,Austin,Virginia Beach
1,,112400,98300,53100,74200,,91900,48800,109000,112200,161200,79600,59800,73100,124500,73700,100300,55200,41100,76100,89000,42600,109700,74300,94200,,43200,60700,64400,77300,63400,,178800,,67500
2,,113300,99300,54700,74600,,92900,49200,109900,113900,164400,79900,60000,73700,125400,74300,101200,56000,41500,75100,90600,42700,109900,74600,95000,,43700,61100,65000,77400,64000,,180800,,67400
3,,113800,100200,56100,75000,,93700,49400,112100,115300,168000,80200,60500,74000,126800,75400,102700,56500,41700,74800,91700,42900,110000,74800,96400,,44400,61400,65400,77800,64100,,183200,,67200
4,,114300,101000,56500,75700,,94100,49500,114900,116900,171400,80300,60900,74000,128000,76800,104400,56700,41900,75400,92600,43100,110600,75600,98500,,45100,61700,65600,78000,63500,,186400,,67200
5,,114800,102100,56600,76300,,94500,49700,117400,118800,175500,80400,61000,74000,128900,77900,105400,56800,42000,75700,93900,43300,111500,76400,100000,,45500,62100,65800,77300,62400,,190700,,67000
6,,115500,103000,56600,76700,,95100,50000,119900,120700,179900,80800,61300,74200,130000,78800,106200,56900,42400,75700,95200,43600,112100,76600,100600,,45500,62600,65900,76600,61300,,195800,,66900
7,,116500,104000,56700,77100,,95900,50100,121400,122600,183700,81700,61500,74400,131500,79600,107500,56900,42700,76000,96600,43700,112300,76800,100800,,45500,62900,66000,76600,60700,,202000,,66900
8,,117800,105300,56900,77500,,96500,50100,122700,124300,186900,82400,61500,74700,132900,80500,108900,57200,43000,76200,97800,43800,112500,77200,101500,,45800,63200,66200,77200,60700,,207600,,67000
9,,119200,106800,57100,77900,,96900,50400,124600,126000,190700,82800,61600,75300,134500,81500,110500,57400,43200,76800,98800,43700,112700,77500,102200,,46200,63500,66500,78000,60900,,212100,,67200
10,,120500,107900,57400,78300,,97700,50700,126400,127800,195900,83700,62200,75800,135900,82700,113100,57300,43400,77400,99800,43900,113300,77700,103100,,46500,63600,66700,78300,61000,,217200,,67800
11,,121500,109100,57600,79000,,99200,51200,127200,129800,201300,84900,62800,76200,137200,83900,116200,57600,43600,78000,101500,44200,113700,78100,104300,,46900,63700,66900,78500,61100,,222700,,68600
12,,122400,110200,57400,79400,,100500,51600,127900,131800,205600,85600,63100,76500,138500,85000,119100,58300,44000,78400,103500,44100,114200,78600,105600,,47300,64000,66800,79000,61200,,227400,,69400
