month,California,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
1,198500,139100,63800,91100,98800,58800,63800,87600,95400,178400,180600,154200,200200,65000,89500,95200,76000,143400,93600,98100,127300,86400,76800,75900,150600,48600,117700,86500,81200,60700,152900,60900,121900,82200,73100,144600,284200,100500,131300,139500,126100,81100,135800,112900,154700,335500,159400
2,202500,138900,64600,91500,98700,58600,64500,88400,95700,178400,180400,155200,201500,66900,90000,95400,75800,144900,93600,98800,127500,86600,77000,76000,151500,48300,117600,86400,81000,60400,153100,62200,120800,81600,73100,143200,285300,100600,132500,139000,126400,79800,135300,113100,154500,335700,157500
3,207200,139100,65400,91600,98700,58700,65300,89400,95400,178800,180500,156600,202800,69100,90300,95600,75600,145400,93400,99600,128000,86400,77300,76300,152100,48300,117300,86400,80800,60700,151600,63900,120700,80200,73300,142700,286700,100300,133500,138300,126100,79300,134700,115000,154300,336200,155500
4,212400,139000,66300,91900,99000,58900,66000,90100,95100,178400,181200,158300,204400,71000,91000,95900,75500,145900,93600,101000,129000,86800,78000,76700,152800,48700,117200,86500,80600,61800,152000,65600,120900,79100,74000,144200,289000,100600,134300,139200,125300,79600,134500,116600,154100,337100,154600
5,217900,139100,67300,92900,99400,59200,66900,91400,95300,178000,182900,159900,206300,72600,92400,96400,75600,147000,94600,102500,130200,87400,78800,77300,154200,49500,117300,86700,80700,62600,154400,67400,121200,79000,74600,146200,291700,101700,135500,141300,124600,79900,134100,116700,154800,338700,154200
6,223900,139400,68600,94100,99800,59600,67800,93300,95800,178300,185400,161500,208500,74000,94400,97200,75800,148300,95900,103800,131400,87900,79500,78000,156400,50800,117700,86600,81000,62600,155900,69300,121400,80600,75100,146500,293900,102700,137400,142000,123800,79600,133900,117000,156600,341500,155000
7,230100,140000,69900,95200,100300,60000,68900,95000,96400,178900,188000,163700,210500,75100,96600,98100,76000,149000,96600,105300,132700,87500,80200,78700,158600,52100,118200,86300,81500,62600,154300,71100,121800,83000,75500,146900,296500,103000,139400,140500,123800,80100,135100,118500,159200,345100,157400
8,236200,140400,70800,96500,100500,60100,70200,96300,96800,179200,190400,166000,212600,75700,99000,99200,76100,149800,96400,107300,133900,87500,80800,79500,160200,53000,118600,86300,82500,62300,152500,73000,121900,85100,75400,147500,300000,103000,140500,140700,124100,81200,136900,119300,160700,348500,159300
9,241500,140700,71800,97500,100800,60500,71600,97500,96900,180600,192500,167900,214900,76200,99400,100100,76000,151000,95900,109000,135300,88700,81300,80500,161900,53800,118700,86400,83200,61900,152100,75400,121200,86900,75400,147700,303700,103100,141300,142000,124200,82300,138400,120100,161400,351700,158300
10,246200,141000,73000,99100,101100,61200,72900,99100,97000,182700,194000,169300,216900,76700,98600,101200,75600,152200,96300,110200,136800,90100,82100,81300,163700,54600,118600,86600,84100,62200,153000,77600,120300,88100,76700,147300,307000,103900,142500,142100,123600,82400,139700,121000,164300,354200,158500
11,250300,141300,74300,100800,101900,61800,74000,101100,97800,184400,194800,170400,218900,76600,97700,102500,75100,153600,97000,111100,138100,90700,82700,81900,165200,55400,118600,87100,85100,62700,153600,78900,119700,89500,77900,147400,309800,104800,143600,141300,123600,82800,142800,121900,169600,355700,159500
12,254100,141600,75300,102200,102800,62200,74800,102500,98300,185600,196300,171600,220900,76200,96800,103700,75300,154500,97500,111600,138900,91300,83200,82300,166300,56500,119000,87500,86200,63000,153600,79300,119100,90400,78200,147700,312100,105400,144600,139300,124100,83900,146400,122800,172400,357100,157900
